Rating,Review,Name,Province,Type,cleanliness,service,accomodation,facility,crowd
1,not sure if it was due to storms etc but it was gross and not worth going with kids we had heard so much about it and was disappointed not sure if its better at the other end but this was the market end the sand looks nice from a distance but its not and the water in the pic is dirty and full of rubbish,Sanur Beach,Bali,Alam,1,0,0,0,0
1,ship aground just off puri santrian sanur bali see ship on reef in background there doesnt seem to be any action to get ship off reef hope there isnt a spill,Sanur Beach,Bali,Alam,0,1,0,0,0
1,yes it is a cute little sleepy town with a whole lot of nothing to do the beach isnt really nice and wouldnt recommend as a swim beach ok for sitting by the pool or passing through to go somewhere else,Sanur Beach,Bali,Alam,0,0,0,1,0
2,we have been here in the rainy season so the proof of the water quality could be seen bestthe sand is sprinkled with plastic the water is brown from the illegally spilled waste water and there is a smell from the algee that really states stay in the hotel poolthere are quite some people swimming here but we decided not to go to avoid skin rashes,Sanur Beach,Bali,Alam,1,0,0,0,0
2,this is where all the boats land its busy polluted and noisy im not sure why you would go here unless you were getting on a boat,Sanur Beach,Bali,Alam,1,0,0,0,1
2,the beach itself isnt really much of a beach its more of an inlet theres no surf and the tide goes out a fair distance nice to have a relaxed walk in the shade though,Sanur Beach,Bali,Alam,0,0,0,1,0
2,generally crowded and disorganized areathere are many small ports which supply transportation to the islands,Sanur Beach,Bali,Alam,0,1,3,0,1
2,sandy beach surrounded by restaurants and few resorts unfortunatelly not for swimming tides at the morning and afternoon many boats which let out sewage near the beach local people mostly polide just once we were attacked by a yelling local when trying to sit in the shadow so we felt really bad the rest of the day,Sanur Beach,Bali,Alam,0,1,0,3,0
2,this one is average reasonably clean and yellow sand and compared to seminyak was a lot nicer but not as breathtaking as led to believe prior to visiting it also faced the wrong way to catch the sunset but we should have researched better you did get hassled a little bit with locals trying to sell their products but a polite no thank you and they move on quickly,Sanur Beach,Bali,Alam,3,1,0,0,0
2,nice beach but sadly lots of dog poo which is a shame we were a little put off after a floater in first day tip end of beach outside hyatt hotel and beyond is great,Sanur Beach,Bali,Alam,1,0,0,0,0
2,travelled a lot and this area is so disappointing and the surrounding area  sorry not my cup of tea,Sanur Beach,Bali,Alam,0,0,0,1,0
2,beautiful scenery but not a pleasant place to swim its full of dead coral and seaweed everywhere nice to relax next to and try some food and drinks but the swim was yuck,Sanur Beach,Bali,Alam,1,0,0,3,0
2,stayed there in july only thing that we loved was the oceanbeautiful warm full of corals and sea creatures the beach is very dirty with stray dogs everywhere and annoying locals who follows you around offering their services  massages transportation ets  only four star hotel cleans a small part of the beach in front of them all other hotelsdont i would never let my children to play in the sand on this beach there are lots of restaurants along the beach which are okbut a bit overpriced after all we found a better place to eat at a golf course nearby bali beach golf course their restaurant sector serves better food and a bit cheaper,Sanur Beach,Bali,Alam,1,1,0,2,0
3,this beach was crowded we had to walk a fair bit before we found somewhere to sit there was a lot of garbage as well,Sanur Beach,Bali,Alam,1,0,1,0,1
3,the sanur beach was very good the first week the beds wasnt too expensive and it was room to lay straight on the sand if we wanted a little bit trash here and there the second week on the other hand was not as nice the front sunbeds was reserved for guests of some hotels,Sanur Beach,Bali,Alam,1,1,0,2,0
3,when we were headed to bali we knew beaches a re not great so didnt have much expectations sanur beach is calm and easier for kids but there was lot of sea weed and some garbage which kind of ruined the experience if you have been to thai beaches this will not impress you still you can make a day out of it there is good pathway along the beach where you can take a stroll,Sanur Beach,Bali,Alam,1,0,3,0,0
3,calm beach for children but not so clean water like i expect itsometimes the colour is brown and has plastics outsidemany choices for waters activitiesalso many restaurants and cafeterias,Sanur Beach,Bali,Alam,1,0,0,3,0
3,nice beach lots of opportunities for food and service observe your surroundings closely hmmm parts of the beach are more indonesian and some parts are more touristy we enjoyed our visit and felt very safe as we walked stopped enjoyed a libation and walked,Sanur Beach,Bali,Alam,0,0,3,3,0
3,in fairness the beach is not always our premier destination whilst on holiday but we do like to have a wander and a dip in the oceanthe beach in sanur is very rough sand and many of the beach cafes are quite seedy until you get way along the frontladies selling fans are in your face incessantly and we saw no sun beds for quite a considerable distance the far end closer to the big resort hotels was nicer cleaner and less litter and crap but the bars were very expensive compared to well anywhere else wed visited on bali to be honest im sure there are many beautiful beaches but this one didnt rank great with us,Sanur Beach,Bali,Alam,1,1,0,1,0
3,it is a sandy beach but the water is at most waist deep my family and i prefer slightly deeper water to swim in and there is a lot of seaweed and jelly fish it is good for snorkelling though as there are lots of fish in the kelp,Sanur Beach,Bali,Alam,2,0,0,2,0
3,the beach was full of fishing boatssome area was rocky beach we found people with their dogs walking in the beach which for us quite disturbing nevertheless it was easy to find restaurants in the area also shops for everything you need,Sanur Beach,Bali,Alam,0,0,0,3,1
